yr,계정구분,부실순증금액,보증잔액,경과기일,총일수,부실률,연도
20131231,일반,17121.092991,405810.86308,365,365,4.2189834104,2013-12
20141231,일반,16529.145871,411574.07659,365,365,4.016080412,2014-12
20151231,일반,16408.992737,411010.47476,365,365,3.9923539045,2015-12
20161231,일반,16467.100224,421534.62311,366,366,3.9064644565,2016-12
20171231,일반,15378.123974,443902.91998,365,365,3.4642989001,2017-12
20181231,일반,16177.882455,455482.33167,365,365,3.5518133921,2018-12
20191231,일반,15561.238916,472230.98212,365,365,3.2952600539,2019-12
20201231,소위탁,73.20734001,32689.188727,366,366,0.2239496998,2020-12
20201231,일반,13340.179586,549536.21792,366,366,2.4275341918,2020-12
20211231,소위탁,1250.9327152,71551.594324,365,365,1.7482946774,2021-12
20211231,일반,11604.005886,591460.99889,365,365,1.9619224104,2021-12
20221231,대환,2.2743,2316.2346339,365,365,0.0981895343,2022-12
20221231,소위탁,2539.0451441,65081.758721,365,365,3.9013161199,2022-12
20221231,일반,12555.785296,613962.63989,365,365,2.0450406068,2022-12
20230131,대환,8.8173,2512.7757653,31,365,4.1315503837,2023-01
20230131,소위탁,442.35401097,63943.245887,31,365,8.1452883253,2023-01
20230131,일반,1651.802235,612265.40627,31,365,3.1765046692,2023-01
20230228,대환,17.92783155,2715.2271383,59,365,4.0847214881,2023-02
20230228,소위탁,895.85740477,62809.989172,59,365,8.8237058525,2023-02
20230228,일반,3114.8235007,611123.0108,59,365,3.1531574607,2023-02
20230331,대환,35.68933155,4134.9504266,90,365,3.5004063388,2023-03
20230331,소위탁,1403.9135256,61235.012922,90,365,9.2980290631,2023-03
20230331,일반,4883.454574,613004.76383,90,365,3.2308266585,2023-03
20230430,대환,53.73240048,5485.874896,120,365,2.9792157962,2023-04
20230430,소위탁,1895.0044803,59819.731342,120,365,9.6355697888,2023-04
20230430,일반,6523.0497684,616240.7461,120,365,3.2196739945,2023-04
20230531,대환,93.39634333,6424.4267546,151,365,3.5140780893,2023-05
20230531,소위탁,2431.356517,58046.252029,151,365,10.124891534,2023-05
20230531,일반,8418.6260649,617353.59521,151,365,3.2962728635,2023-05
20230630,대환,127.57614096,7412.6512635,181,365,3.4706449076,2023-06
20230630,소위탁,2949.1573325,56164.742598,181,365,10.588841773,2023-06
20230630,일반,10007.216363,614906.25134,181,365,3.2818495742,2023-06
20230731,대환,178.42715278,8599.6627104,212,365,3.5722062903,2023-07
20230731,소위탁,3417.957448,54556.871518,212,365,10.786342262,2023-07
20230731,일반,11941.586964,615959.61175,212,365,3.3378499748,2023-07
20230831,대환,232.37111007,9564.6750288,243,365,3.6492070448,2023-08
20230831,소위탁,3899.6539321,52541.054236,243,365,11.148434234,2023-08
20230831,일반,13625.569654,616550.2125,243,365,3.3195010264,2023-08
20230930,대환,292.58628484,10233.468829,273,365,3.8226216116,2023-09
20230930,소위탁,4351.2472563,50691.275038,273,365,11.47653445,2023-09
20230930,일반,15136.320142,619711.86142,273,365,3.2655829016,2023-09
20231031,대환,384.11034404,10706.079323,304,365,4.3076938168,2023-10
20231031,소위탁,4829.1294204,48579.001786,304,365,11.935470368,2023-10
20231031,일반,17094.693299,620244.65816,304,365,3.3091584421,2023-10
20231130,대환,494.92396432,11088.454764,334,365,4.8776861374,2023-11
20231130,소위탁,5374.29372,46540.716278,334,365,12.619284537,2023-11
20231130,일반,18639.164797,621253.01939,334,365,3.2787200259,2023-11
