"연도","고객번호","기업체명","원장번호","개인법인사업자구분명","보증잔액","직위재구분","상시직원수","통합통계거래상대처은행","신용평가등급"
2018-12-31,067528266,광동가설산업,TOA201500172,개인사업자,68000000,직접,2,광주은행,KR6
2018-12-31,026493332,희성공구,THV201400299,개인사업자,93500000,직접,1,국민은행,KR7
2018-12-31,074453366,거림소방(주),TJB201700123,법인사업자,270000000,직접,4,중소기업은행,KR9
2018-12-31,076595264,안성경옥당한의원,THV201800604,개인사업자,100000000,직접,0,KEB하나은행,KR11
2018-12-31,066223740,포커스물류(주),TBH201500112,법인사업자,42500000,직접,2,국민은행,KR8
2018-12-31,073207283,효원HM,TQJ201500910,개인사업자,900000000,직접,15,국민은행,KR5
2018-12-31,067574472,동방소재(주),TAT201500456,법인사업자,493000000,직접,4,중소기업은행,KR9
2018-12-31,072999330,(주)한길이엔지,JHY201500009,법인사업자,30000000,직접,0,KEB하나은행,KR13
2018-12-31,072026562,(주)굿뉴뱅크,TAF201400525,법인사업자,90000000,직접,3,신한은행,KR9
2018-12-31,069282843,두레청과86호,TOF201200234,개인사업자,80750000,직접,0,국민은행,KR10
2018-12-31,064149897,(주)세림씨앤에어,TAD201600446,법인사업자,53550000,직접,4,국민은행,KR5
2018-12-31,071736112,영(코퍼레이션),QAC201400277,개인사업자,76500000,직접,1,우리은행,KR10
2018-12-31,023971035,정운테크,THT201300743,개인사업자,208800000,직접,20,신한은행,KR8
2018-12-31,064096937,(주)대율산업,TQB201500415,법인사업자,240975000,직접,6,대구은행,KR11
2018-12-31,072399451,셀라코리아(주),THL201601436,법인사업자,255000000,직접,4,우리은행,KR9
2018-12-31,069893740,(주)성문,TQI201700664,법인사업자,25500000,직접,6,신한은행,KR7
2018-12-31,073851626,인천어바웃유외과(동업),THI201600573,개인사업자,80450000,직접,4,한국씨티은행,KR12
2018-12-31,046726089,호남고속화물,TPH200500091,개인사업자,32000000,직접,1,우리은행,KR7
2018-12-31,071147824,FIT IN,TIG201600974,개인사업자,23000000,직접,0,기타,KR9
2018-12-31,066286457,종로서적,TPN201700201,개인사업자,76500000,직접,0,국민은행,KR5
2018-12-31,065790915,모픽,TBA201000332,개인사업자,14535000,직접,0,농업협동조합,KR13
2018-12-31,071030928,구동기계(주),TQB201700102,법인사업자,152000000,직접,7,신한은행,KR9
2018-12-31,070610873,거성PLATECH,THL201300246,개인사업자,38250000,직접,4,중소기업은행,KR10
2018-12-31,071135331,(주)대도전기조명물류,TOI201500705,법인사업자,450000000,직접,9,농업협동조합,KR8
2018-12-31,061184774,동부에너지주유소(동업),TOE201600157,개인사업자,145350000,직접,3,국민은행,KR5
2018-12-31,072164084,에스엔종합건설(주),TMF201400376,법인사업자,255000000,직접,15,중소기업은행,KR10
2018-12-31,075819776,(주)와이오엘오,TAT201800223,법인사업자,120000000,직접,5,신한은행,KR9
2018-12-31,006957267,한국아존(주),TBA201300597,법인사업자,640000000,직접,13,국민은행,KR3
2018-12-31,074468445,"(주)콘트롤시비(control CV Co.,Ltd.)",TIL201800190,법인사업자,90000000,직접,2,국민은행,KR10
2018-12-31,060503644,(주)정인유통,TOG201700046,법인사업자,107100000,직접,2,국민은행,KR12
2018-12-31,073964830,디에스피,TML201800222,개인사업자,45900000,직접,7,중소기업은행,KR6
2018-12-31,005337367,명동쌍방울,TOJ201600663,개인사업자,15776800,직접,0,광주은행,F2
2018-12-31,073827582,루카루카신시가지점,TNC201600334,개인사업자,70000000,직접,0,우리은행,KR9
2018-12-31,061116823,린여성병원,TAH201800930,개인사업자,32400000,직접,138,중소기업은행,KR4
2018-12-31,073637219,상생식품,KPB201600026,개인사업자,100000000,직접,0,중소기업은행,KR15
2018-12-31,037360593,장위베지밀대리점,TAU201800660,개인사업자,16000000,직접,3,중소기업은행,KR13
2018-12-31,071230786,더스테이지,TBA201801308,개인사업자,36000000,직접,0,신한은행,KR10
2018-12-31,075319124,삼원,TBH201700720,개인사업자,49500000,직접,2,부산은행,KR10
2018-12-31,073655398,(주)세진아이엔,TIE201800143,법인사업자,76500000,직접,7,우리은행,KR9
2018-12-31,074012804,요기펫,TBF201600803,개인사업자,80000000,직접,2,신한은행,KR7
2018-12-31,069387463,농업회사법인신선푸드(주),TCE201300027,법인사업자,34000000,직접,4,KEB하나은행,KR8
2018-12-31,061421563,CMI커뮤니케이션,TRA201300506,개인사업자,42500000,직접,5,제주은행,KR9
2018-12-31,074987764,록바이오텍(ROK-Biotech),TOA201700508,개인사업자,45000000,직접,0,중소기업은행,KR13
2018-12-31,070533905,박형선한의원,THL201400317,개인사업자,81000000,직접,4,국민은행,KR7
2018-12-31,074236224,(주)새마을환경,TOI201600750,법인사업자,87200000,직접,9,농업협동조합,KR9
2018-12-31,067443341,광명타이어,TOI201300336,개인사업자,16150000,직접,0,광주은행,KR6
2018-12-31,073089676,영권자원,JHA201500011,개인사업자,52160000,직접,0,KEB하나은행,KR10
2018-12-31,061607989,세종산업,TBG201801358,개인사업자,30000000,직접,0,기타,KR10
2018-12-31,068057008,베스트요양병원(동업),TAI201800172,개인사업자,680000000,직접,188,국민은행,KR6
2018-12-31,068389158,한국유통,TLA201101172,개인사업자,46080000,직접,3,농업협동조합,KR5
2018-12-31,024410113,(주)피엔에스홈즈,TBG201401203,법인사업자,850000000,직접,167,KEB하나은행,KR7
2018-12-31,063606807,우진시스템(주),TPD201600293,법인사업자,120000000,직접,2,중소기업은행,KR6
2018-12-31,075385077,(주)휘상,TIF201700792,법인사업자,90000000,직접,2,신한은행,KR8
2018-12-31,004496021,남도주유소,TOD200900411,개인사업자,106080000,직접,3,우리은행,KR7
2018-12-31,036933264,파워포인트(주),TAU201500225,법인사업자,180000000,직접,36,국민은행,KR12
2018-12-31,074871168,위시티성모윌내과의원,TAM201700419,개인사업자,89080000,직접,0,한국씨티은행,KR9
2018-12-31,061253838,(주)로젠식품,THA201400470,법인사업자,433500000,직접,48,농업협동조합,KR5
2018-12-31,004833529,(주)진성플라스틱,THW201700215,법인사업자,500000000,직접,16,기타,KR7
2018-12-31,045673696,(주)엔아이전자,THA201600058,법인사업자,24000000,직접,5,신한은행,KR8
2018-12-31,075559366,파워풍력기계,VOC201700001,개인사업자,100000000,위탁,0,중소기업은행,
2018-12-31,071885144,OK포인트마트영천점,TPE201600079,개인사업자,153000000,직접,0,국민은행,KR10
2018-12-31,072713749,(주)세나테크코리아,THQ201600578,법인사업자,1012500000,직접,22,신한은행,KR10
2018-12-31,071484260,(주)플렛디스,THT201800666,법인사업자,493000000,직접,17,중소기업은행,KR10
2018-12-31,045520817,(주)성원안전산업,TLD201500062,법인사업자,360000000,직접,17,중소기업은행,KR5
2018-12-31,075060703,미노스,TAP201701000,개인사업자,85000000,직접,5,중소기업은행,KR6
2018-12-31,072853421,은광전설(주),TML201600129,법인사업자,90000000,직접,6,중소기업은행,KR7
2018-12-31,046786184,에스케이팩(동업),TIE201500207,개인사업자,23800000,직접,0,한국스탠다드차타드,KR9
2018-12-31,004945080,(주)나산플랜트,TAL201600631,법인사업자,72000000,직접,4,중소기업은행,KR7
2018-12-31,066893060,(주)에이엔디코리아,THK201000926,법인사업자,34000000,직접,7,국민은행,KR8
2018-12-31,074565393,엠지에스(MGS)선목안과의원(동업),TBA201700249,개인사업자,180000000,직접,11,KEB하나은행,KR6
2018-12-31,074493915,글로벌튼튼병원,TMA201700120,개인사업자,997500000,직접,150,KEB하나은행,KR14
2018-12-31,062520010,새이버라인(주),TAN201200096,법인사업자,170000000,직접,122,국민은행,KR5
2018-12-31,073857099,(주)보이스인,TAN201800482,법인사업자,95000000,직접,18,KEB하나은행,KR10
2018-12-31,071691215,씨앤비에프(C&BF),THG201800137,개인사업자,135000000,직접,3,기타,KR11
2018-12-31,025234233,대한비앤비,TIZ201700527,개인사업자,51120000,직접,10,중소기업은행,KR11
2018-12-31,074046090,김경국세무회계사무소,TOF201600746,개인사업자,50000000,직접,0,신한은행,KR13
2018-12-31,075480859,명인한의원,TJA201700456,개인사업자,100000000,직접,0,KEB하나은행,KR9
2018-12-31,016607400,고려인삼과학(주),TIZ201600066,법인사업자,320000000,직접,40,중소기업은행,KR6
2018-12-31,061953785,신성정밀,THA201500352,개인사업자,21250000,직접,1,국민은행,KR6
2018-12-31,069091050,(주)신창산업,TLA201700024,법인사업자,1460000000,직접,20,국민은행,KR2
2018-12-31,076444069,(주)올인시스템,TMJ201800296,법인사업자,90000000,직접,38,우리은행,KR7
2018-12-31,075784128,체리북스,TAI201800118,개인사업자,78480240,직접,0,신한은행,KR5
2018-12-31,000781329,신진물산,TJB201800163,개인사업자,120000000,직접,2,중소기업은행,KR8
2018-12-31,046398310,아진텍스,TPD201800142,개인사업자,42500000,직접,1,중소기업은행,KR8
2018-12-31,073526061,안성섬유,TSA201600108,개인사업자,68000000,직접,12,중소기업은행,KR6
2018-12-31,063815300,(주)금성지앤씨,TPP201400347,법인사업자,167850000,직접,37,중소기업은행,KR8
2018-12-31,069939882,JMT mobile,TSA201290548,개인사업자,20000000,수탁(청년재단),0,국민은행,
2018-12-31,063574421,관광닛블공구,TNA201400055,개인사업자,37050000,직접,2,신한은행,KR13
2018-12-31,068270131,(주)코리아피팅,TML201800283,법인사업자,225000000,직접,3,중소기업은행,KR10
2018-12-31,007869516,한아유통,TOJ201500143,개인사업자,54400000,직접,2,중소기업은행,KR13
2018-12-31,073244767,(주)링콘테크놀로지,THJ201800110,법인사업자,170000000,직접,5,중소기업은행,KR8
2018-12-31,026280956,(주)썬일렉컴,TCE201700201,법인사업자,349600000,직접,17,신한은행,KR13
2018-12-31,075115496,(주)알아이파워,TAO201700220,법인사업자,500000000,직접,0,우리은행,KR7
2018-12-31,074925470,(주)승화가구,TIH201700252,법인사업자,99750000,직접,21,중소기업은행,KR8
2018-12-31,066496836,황금자원,RPH201000298,개인사업자,85000000,직접,0,중소기업은행,KR14
2018-12-31,061713103,미우라하이테크,TJE201201038,개인사업자,50150000,직접,0,국민은행,KR9
2018-12-31,066644808,TOPIA서청주어학원,TLA201500458,개인사업자,36000000,직접,13,국민은행,KR10
2018-12-31,059609300,(주)다온누리,TAW201601199,법인사업자,253600000,직접,14,우리은행,KR13
2018-12-31,069707522,콘트롤뱅크,THN201200426,개인사업자,85000000,직접,1,KEB하나은행,KR10
2018-12-31,075010601,은성산업,THO201701017,개인사업자,76500000,직접,1,국민은행,KR4
2018-12-31,069446841,동우어패럴,TLD201800249,개인사업자,136000000,직접,28,국민은행,KR8
2018-12-31,042065566,두산교역(주),TCE201700258,법인사업자,279000000,직접,10,중소기업은행,KR11
2018-12-31,071445380,(유한)원진테크,TND201700130,법인사업자,170000000,직접,7,신한은행,KR9
2018-12-31,068911539,(주)텍코,THQ201800073,법인사업자,170000000,직접,6,중소기업은행,KR5
2018-12-31,035955667,서진유통(주),THD201200178,법인사업자,240000000,직접,15,국민은행,KR7
2018-12-31,021788822,인디카마스터,TOA201400944,개인사업자,10625000,직접,1,중소기업은행,KR14
2018-12-31,072754096,한서물류(주),TIG201500180,법인사업자,116800000,직접,17,중소기업은행,KR5
2018-12-31,063689248,쌍용식품(주),TMB200900144,법인사업자,178500000,직접,7,KEB하나은행,KR7
2018-12-31,075059002,(주)청아산업,TQB201700314,법인사업자,90000000,직접,38,부산은행,KR9
2018-12-31,073911663,(주)대은,TIH201700272,법인사업자,360000000,직접,17,기타,KR5
2018-12-31,059914260,파워넷,TAD201700170,개인사업자,59500000,직접,0,KEB하나은행,KR3
2018-12-31,075474027,평화약국,THQ201700806,개인사업자,100000000,직접,0,중소기업은행,KR10
2018-12-31,072273409,(주)에이치엠엔컴퍼니,TAP201500886,법인사업자,63000000,직접,268,중소기업은행,KR7
2018-12-31,073673846,케이아이안전보건기술원(주),TIA201600267,법인사업자,81600000,직접,21,농업협동조합,KR3
2018-12-31,072690558,도경기업(주),TOA201500069,법인사업자,161500000,직접,5,광주은행,KR13
2018-12-31,033703112,대진정밀,THT201600997,개인사업자,19600000,직접,0,중소기업은행,KR7
2018-12-31,074923702,(주)바이뎀,TCD201700370,법인사업자,100000000,직접,5,중소기업은행,KR11
2018-12-31,004643379,(주)동화특수강,THZ201600109,법인사업자,1280000000,직접,19,신한은행,KR11
2018-12-31,023928017,에스티금속(주),TIA201600639,법인사업자,290700000,직접,3,국민은행,KR8
2018-12-31,034104354,(주)성진테크윈,TME201801334,법인사업자,1000000000,직접,56,한국산업은행,KR7
2018-12-31,076581919,신관스크린골프존,TME201801650,개인사업자,54000000,직접,1,국민은행,KR9
2018-12-31,074991268,(주)유니데코,TLE201700192,법인사업자,100000000,직접,0,국민은행,KR10
2018-12-31,029240155,금강건설(주),TPJ201600857,법인사업자,42500000,직접,10,우리은행,KR7
2018-12-31,070633423,다은트레이딩,TBD201600502,개인사업자,50000000,직접,0,국민은행,KR8
2018-12-31,076027606,서공동물병원,THJ201800421,개인사업자,100000000,직접,0,부산은행,KR9
2018-12-31,070778126,대호상사,TMB201300417,개인사업자,98600000,직접,0,국민은행,KR6
2018-12-31,062998862,파리바게트,TQD201800720,개인사업자,42500000,직접,1,경남은행,KR12
2018-12-31,074729854,우창테크,TPD201700349,개인사업자,81000000,직접,4,KEB하나은행,KR5
2018-12-31,069718676,(주)화인산업개발,TOJ201300588,법인사업자,38250000,직접,3,광주은행,KR9
2018-12-31,076180080,청화기공,JQA201800011,개인사업자,40000000,직접,0,중소기업진흥공단,KR15
2018-12-31,076137376,(주)끌리메,TCE201800285,법인사업자,135000000,직접,11,신한은행,KR7
2018-12-31,068841874,만세주유소,RIC201100407,개인사업자,90950000,직접,2,국민은행,KR7
2018-12-31,067679568,일성데코,THK201100302,개인사업자,29750000,직접,1,중소기업은행,KR9
2018-12-31,074391224,(주)디엠과사람들,TAF201700516,법인사업자,45000000,직접,2,신한은행,KR9
2018-12-31,042995306,(합자)진성산업,TJE201600358,법인사업자,22400000,직접,3,신한은행,KR10
2018-12-31,006451129,스카이산업,THI201200727,개인사업자,7200000,직접,3,국민은행,KR10
2018-12-31,006131711,성호기업,TQK201600303,개인사업자,43200000,직접,133,중소기업은행,KR9
2018-12-31,075460468,(주)브이앤리,QAC201702049,법인사업자,100000000,직접,2,KEB하나은행,KR8
2018-12-31,065185779,(주)큐소닉,TAV201600835,법인사업자,92000000,직접,13,국민은행,KR7
2018-12-31,061346127,현대석유,TQJ201800592,개인사업자,27540000,직접,2,경남은행,KR6
2018-12-31,063005822,(주)미준기획,TAU201800153,법인사업자,801000000,직접,8,우리은행,KR7
2018-12-31,069117015,대상약품,TBA201400844,개인사업자,208250000,직접,11,부산은행,KR12
2018-12-31,072208270,(주)진한기업,TQK201600130,법인사업자,180000000,직접,160,중소기업은행,KR10
