연도,고객번호,기업체명,원장번호,개인법인사업자구분명,보증잔액,직위재구분
2018-12-31,088501562,광동,ZJY201411403,개인사업자,68000000,직접
2018-12-31,052593140,희성,PEI201865010,개인사업자,93500000,직접
2018-12-31,074126091,거림,YXP200837708,법인사업자,270000000,직접
2018-12-31,018102485,안성,OTQ201095763,개인사업자,100000000,직접
2018-12-31,016264516,포커,XZT200164881,법인사업자,42500000,직접
2018-12-31,055270571,효원,GPR200167428,개인사업자,900000000,직접
2018-12-31,033175907,동방,JXG201186397,법인사업자,493000000,직접
2018-12-31,074745123,(주)한길,ONE201909816,법인사업자,30000000,직접
2018-12-31,049035850,(주)굿뉴,DNQ201313522,법인사업자,90000000,직접
2018-12-31,026788152,두레,TGI200924478,개인사업자,80750000,직접
2018-12-31,062496255,(주)세림,TRX201579022,법인사업자,53550000,직접
2018-12-31,050992657,영(,UIX200312138,개인사업자,76500000,직접
2018-12-31,067339264,정운,HGE201493905,개인사업자,208800000,직접
2018-12-31,052829106,(주)대율,OPI202208811,법인사업자,240975000,직접
2018-12-31,052483965,셀라,UDK200158067,법인사업자,255000000,직접
2018-12-31,083282423,(주)성문,KJS200862642,법인사업자,25500000,직접
2018-12-31,067125200,인천,BZD201421277,개인사업자,80450000,직접
2018-12-31,037637152,호남,WBV200570159,개인사업자,32000000,직접
2018-12-31,084969175,FI,FPO202055428,개인사업자,23000000,직접
2018-12-31,057258857,종로,ULU200586872,개인사업자,76500000,직접
2018-12-31,085342554,모픽,QKB201958439,개인사업자,14535000,직접
2018-12-31,010078717,구동,EFP201957932,법인사업자,152000000,직접
2018-12-31,019506356,거성,SRT201733334,개인사업자,38250000,직접
2018-12-31,076542105,(주)대도,SGL201195530,법인사업자,450000000,직접
2018-12-31,025430479,동부,ERQ200427492,개인사업자,145350000,직접
2018-12-31,054804750,에스,RHS200098886,법인사업자,255000000,직접
2018-12-31,079866519,(주)와이,FYD201693477,법인사업자,120000000,직접
2018-12-31,057007175,한국,RUJ202276374,법인사업자,640000000,직접
2018-12-31,048553696,(주)콘트,QVT201316137,법인사업자,90000000,직접
2018-12-31,027264994,(주)정인,LLC201526310,법인사업자,107100000,직접
2018-12-31,027268710,디에,BVF200786305,개인사업자,45900000,직접
2018-12-31,064258796,명동,EIJ201672726,개인사업자,15776800,직접
2018-12-31,020837514,루카,UMD202228624,개인사업자,70000000,직접
2018-12-31,024437886,린여,LBZ202168005,개인사업자,32400000,직접
2018-12-31,044595013,상생,GWF201347500,개인사업자,100000000,직접
2018-12-31,071639955,장위,USS201229066,개인사업자,16000000,직접
2018-12-31,052334534,더스,KEB200378602,개인사업자,36000000,직접
2018-12-31,070063507,삼원,XZD201861508,개인사업자,49500000,직접
2018-12-31,089257239,(주)세진,CXO200125002,법인사업자,76500000,직접
2018-12-31,047249109,요기,TDY201518413,개인사업자,80000000,직접
2018-12-31,085944197,농업,WUE201687839,법인사업자,34000000,직접
2018-12-31,082149747,CM,PGQ201930829,개인사업자,42500000,직접
2018-12-31,046437954,록바,WTS201895532,개인사업자,45000000,직접
2018-12-31,082013105,박형,BIE201483677,개인사업자,81000000,직접
2018-12-31,085361986,(주)새마,ERD200991412,법인사업자,87200000,직접
2018-12-31,078046348,광명,IGO200960578,개인사업자,16150000,직접
2018-12-31,089212989,영권,QSR201705338,개인사업자,52160000,직접
2018-12-31,043562961,세종,XLW200917178,개인사업자,30000000,직접
2018-12-31,069684053,베스,VUJ200574332,개인사업자,680000000,직접
2018-12-31,011576377,한국,OYL201126654,개인사업자,46080000,직접
2018-12-31,021792910,(주)피엔,TGI201510199,법인사업자,850000000,직접
2018-12-31,016898595,우진,GVJ201840792,법인사업자,120000000,직접
2018-12-31,049834906,(주)휘상,DLG201971918,법인사업자,90000000,직접
2018-12-31,035189992,남도,TZB201367643,개인사업자,106080000,직접
2018-12-31,088601430,파워,JYD200194129,법인사업자,180000000,직접
2018-12-31,063345700,위시,BTG200465840,개인사업자,89080000,직접
2018-12-31,087652191,(주)로젠,DCN201788635,법인사업자,433500000,직접
2018-12-31,025515722,(주)진성,KNZ202283399,법인사업자,500000000,직접
2018-12-31,066622032,(주)엔아,FUM201023838,법인사업자,24000000,직접
2018-12-31,016016238,파워,MNP201643677,개인사업자,100000000,위탁
2018-12-31,085111073,OK,HLD200452804,개인사업자,153000000,직접
2018-12-31,042236776,(주)세나,OCG202207024,법인사업자,1012500000,직접
2018-12-31,055207469,(주)플렛,XPC201399154,법인사업자,493000000,직접
2018-12-31,017157732,(주)성원,LWE201527250,법인사업자,360000000,직접
2018-12-31,038085822,미노,VEV200152807,개인사업자,85000000,직접
2018-12-31,056769733,은광,UGB201739091,법인사업자,90000000,직접
2018-12-31,060944165,에스,KTU201194149,개인사업자,23800000,직접
2018-12-31,044445272,(주)나산,BPX201392033,법인사업자,72000000,직접
2018-12-31,084022696,(주)에이,LQD201477871,법인사업자,34000000,직접
2018-12-31,013482985,엠지,EXG201510696,개인사업자,180000000,직접
2018-12-31,049204309,글로,ZYM200774238,개인사업자,997500000,직접
2018-12-31,044020821,새이,LIV201119611,법인사업자,170000000,직접
2018-12-31,038717567,(주)보이,NBC201253785,법인사업자,95000000,직접
2018-12-31,027196983,씨앤,KIE201761412,개인사업자,135000000,직접
2018-12-31,030243727,대한,UGS200544783,개인사업자,51120000,직접
2018-12-31,089701283,김경,UJI201908106,개인사업자,50000000,직접
2018-12-31,085025652,명인,VJF201534164,개인사업자,100000000,직접
2018-12-31,052620390,고려,SXF200864654,법인사업자,320000000,직접
2018-12-31,055979227,신성,DZD201228830,개인사업자,21250000,직접
2018-12-31,083278762,(주)신창,KOW201345673,법인사업자,1460000000,직접
2018-12-31,036679838,(주)올인,YPT201847046,법인사업자,90000000,직접
2018-12-31,075317481,체리,PYI201296404,개인사업자,78480240,직접
2018-12-31,057354288,신진,QTR201238803,개인사업자,120000000,직접
2018-12-31,055524818,아진,LGY201563772,개인사업자,42500000,직접
2018-12-31,055831467,안성,WYH201191406,개인사업자,68000000,직접
2018-12-31,013175112,(주)금성,LQQ200540149,법인사업자,167850000,직접
2018-12-31,046566812,JM,TJO202146738,개인사업자,20000000,수탁(청년재단)
2018-12-31,088101996,관광,BQL200099606,개인사업자,37050000,직접
2018-12-31,056440977,(주)코리,GIZ201172384,법인사업자,225000000,직접
2018-12-31,061408989,한아,EOD200047648,개인사업자,54400000,직접
2018-12-31,045751010,(주)링콘,JZQ200981798,법인사업자,170000000,직접
2018-12-31,034347056,(주)썬일,WUQ200406393,법인사업자,349600000,직접
2018-12-31,023202098,(주)알아,IDY201572944,법인사업자,500000000,직접
2018-12-31,085123378,(주)승화,PNB201959906,법인사업자,99750000,직접
2018-12-31,073458931,황금,OXW201909401,개인사업자,85000000,직접
2018-12-31,048825005,미우,EBE200889018,개인사업자,50150000,직접
2018-12-31,088917061,TO,HTR201123868,개인사업자,36000000,직접
2018-12-31,034542925,(주)다온,FHD202196187,법인사업자,253600000,직접
