yr,지역,부실순증금액,보증잔액,누적부실금액,부실률
2022-01,강원,444200077,170287911150.0,444200077,0.2608523846
2022-02,강원,365221764,170287911150.0,809421841,0.4753254858
2022-03,강원,360999999,170287911150.0,1170421840,0.6873193946
2022-04,강원,578309468,170287911150.0,1748731308,1.0269262781
2022-05,강원,354169880,170287911150.0,2102901188,1.2349092627
2022-06,강원,483726078,170287911150.0,2586627266,1.5189729256
2022-07,강원,378646498,170287911150.0,2965273764,1.7413295776
2022-08,강원,591304941,170287911150.0,3556578705,2.0885679324
2022-09,강원,662133660,170287911150.0,4218712365,2.4773997969
2022-10,강원,838149635,170287911150.0,5056862000,2.9695954139
2022-11,강원,1188911413,170287911150.0,6245773413,3.6677726392
2022-12,강원,1368999874,170287911150.0,7614773287,4.4717051466
2023-01,강원,1333681449,170287911150.0,8948454736,5.2548972358
2023-02,강원,1129337348,170287911150.0,10077792084,5.9180901427
2023-03,강원,1450042372,170287911150.0,11527834456,6.7696141072
2023-04,강원,1414870644,170287911150.0,12942705100,7.6004837998
2023-05,강원,1840365609,170287911150.0,14783070709,8.6812214732
2023-06,강원,1827652134,170287911150.0,16610722843,9.754493276
2023-07,강원,1609415691,170287911150.0,18220138534,10.699607747
2023-08,강원,1495926200,170287911150.0,19716064734,11.578076565
2022-01,경기,2693683492,1367840400000.0,2693683492,0.1969296654
2022-02,경기,2666296304,1367840400000.0,5359979796,0.3918571097
2022-03,경기,2978503229,1367840400000.0,8338483025,0.6096093608
2022-04,경기,3346386051,1367840400000.0,11684869076,0.8542567691
2022-05,경기,3077476005,1367840400000.0,14762345081,1.0792447165
2022-06,경기,3709918317,1367840400000.0,18472263398,1.3504692219
2022-07,경기,2838271353,1367840400000.0,21310534751,1.5579694087
2022-08,경기,4204199373,1367840400000.0,25514734124,1.8653297864
2022-09,경기,4260085008,1367840400000.0,29774819132,2.1767758481
2022-10,경기,5319868739,1367840400000.0,35094687871,2.5657005208
2022-11,경기,7118544888,1367840400000.0,42213232759,3.086122711
2022-12,경기,9374923871,1367840400000.0,51588156630,3.7715041325
2023-01,경기,8558404249,1367840400000.0,60146560879,4.3971914821
2023-02,경기,9159998414,1367840400000.0,69306559293,5.066860145
2023-03,경기,10525523447,1367840400000.0,79832082740,5.8363595373
2023-04,경기,10651313695,1367840400000.0,90483396435,6.6150551961
2023-05,경기,10389213323,1367840400000.0,100872609758,7.3745892354
2023-06,경기,11650798295,1367840400000.0,112523408053,8.2263551597
2023-07,경기,10381199265,1367840400000.0,122904607318,8.9853033076
2023-08,경기,11113271579,1367840400000.0,134017878897,9.7977717582
2022-01,경남,1092057323,339989422883.0,1092057323,0.3212033227
2022-02,경남,1068080638,339989422883.0,2160137961,0.6353544598
2022-03,경남,849312721,339989422883.0,3009450682,0.8851600901
2022-04,경남,889107789,339989422883.0,3898558471,1.1466705164
2022-05,경남,935095476,339989422883.0,4833653947,1.4217071537
2022-06,경남,1396592621,339989422883.0,6230246568,1.8324824682
2022-07,경남,984400191,339989422883.0,7214646759,2.1220209434
2022-08,경남,1041980390,339989422883.0,8256627149,2.4284952982
2022-09,경남,1782921445,339989422883.0,10039548594,2.9529002723
2022-10,경남,1942364281,339989422883.0,11981912875,3.524201657
2022-11,경남,2665559347,339989422883.0,14647472222,4.3082140902
2022-12,경남,3118863318,339989422883.0,17766335540,5.2255553686
2023-01,경남,3027565694,339989422883.0,20793901234,6.1160435691
2023-02,경남,3215891215,339989422883.0,24009792449,7.061923352
2023-03,경남,3377822263,339989422883.0,27387614712,8.0554313954
2023-04,경남,3255674776,339989422883.0,30643289488,9.0130125897
2023-05,경남,3659232474,339989422883.0,34302521962,10.089290917
2023-06,경남,3714884239,339989422883.0,38017406201,11.18193792
2023-07,경남,3689237416,339989422883.0,41706643617,12.267041505
2023-08,경남,3397402336,339989422883.0,45104045953,13.266308572
2022-01,경북,685767478,285178401839.0,685767478,0.2404696406
2022-02,경북,1184811993,285178401839.0,1870579471,0.6559330787
2022-03,경북,912000000,285178401839.0,2782579471,0.9757328932
2022-04,경북,929150769,285178401839.0,3711730240,1.3015467567
2022-05,경북,923986357,285178401839.0,4635716597,1.6255496795
2022-06,경북,661498370,285178401839.0,5297214967,1.8575091707
2022-07,경북,694464531,285178401839.0,5991679498,2.1010284998
2022-08,경북,1375513822,285178401839.0,7367193320,2.583363001
2022-09,경북,1536287101,285178401839.0,8903480421,3.122073889
2022-10,경북,1872828983,285178401839.0,10776309404,3.7787957764
2022-11,경북,3047549567,285178401839.0,13823858971,4.8474424717
2022-12,경북,3096101024,285178401839.0,16919959995,5.9331141089
2023-01,경북,2663622001,285178401839.0,19583581996,6.8671336503
2023-02,경북,3598795610,285178401839.0,23182377606,8.1290790104
2023-03,경북,3223486764,285178401839.0,26405864370,9.259419437
2023-04,경북,3457387429,285178401839.0,29863251799,10.471778931
2023-05,경북,3993043749,285178401839.0,33856295548,11.871970433
2023-06,경북,3442273958,285178401839.0,37298569506,13.079030272
2023-07,경북,3097656571,285178401839.0,40396226077,14.165247374
2023-08,경북,3174548761,285178401839.0,43570774838,15.278427313
2022-01,광주,711375616,163648197046.0,711375616,0.4346981078
2022-02,광주,318249542,163648197046.0,1029625158,0.6291698757
2022-03,광주,643361553,163648197046.0,1672986711,1.0223068394
2022-04,광주,473161027,163648197046.0,2146147738,1.3114398916
2022-05,광주,634242452,163648197046.0,2780390190,1.6990044743
2022-06,광주,417660607,163648197046.0,3198050797,1.9542230558
2022-07,광주,401028682,163648197046.0,3599079479,2.199278418
2022-08,광주,530468358,163648197046.0,4129547837,2.5234300845
2022-09,광주,680767419,163648197046.0,4810315256,2.9394245356
2022-10,광주,929335666,163648197046.0,5739650922,3.5073108202
2022-11,광주,1034918764,163648197046.0,6774569686,4.1397154434
2022-12,광주,1296521257,163648197046.0,8071090943,4.9319766968
2023-01,광주,1323377600,163648197046.0,9394468543,5.740648973
2023-02,광주,1554156930,163648197046.0,10948625473,6.6903428639
2023-03,광주,1450932734,163648197046.0,12399558207,7.5769598632
2023-04,광주,1211002497,163648197046.0,13610560704,8.3169634311
2023-05,광주,1912848642,163648197046.0,15523409346,9.4858419623
2023-06,광주,1650193431,163648197046.0,17173602777,10.494220582
2023-07,광주,1141126104,163648197046.0,18314728881,11.191524998
2023-08,광주,1429015479,163648197046.0,19743744360,12.064749088
2022-01,대구,842088013,340285503171.0,842088013,0.2474651448
2022-02,대구,969000000,340285503171.0,1811088013,0.5322260267
2022-03,대구,1006597707,340285503171.0,2817685720,0.8280357799
2022-04,대구,1128726350,340285503171.0,3946412070,1.1597355847
2022-05,대구,1612996203,340285503171.0,5559408273,1.6337481971
2022-06,대구,926249999,340285503171.0,6485658272,1.9059460987
