조회시점,부실순증금액,선행종합지수,철강생산량,건설수주액,KOSPI지수,VIX지수,CD금리,USD리보금리,장단기금리차(한국),장단기금리차(미국),고위험 스프레드,소비자물가지수,근원물가지수,국제유가,경제심리지수,기업경기실사지수,원달러환율,외환보유액,코로나구분
2013-01-01,337.1298448400005,99.5,19449.0,5731.9,1986.103181818182,13.5052380952381,2.86,0.298,0.1000000000000001,1.64952380952381,4.918181818181818,92.728,90.299,110.46,94.0,69.0,1065.35,328.910278,이전
2013-02-01,-192.5955963500005,99.4,19369.0,5315.3,1979.854736842105,14.07263157894737,2.83,0.2871,0.08,1.716842105263158,4.993,93.038,90.531,107.23,94.3,68.0,1086.68,327.395341,이전
2013-03-01,-264.74333601999683,99.4,16314.0,5487.3,1990.243,13.0315,2.81,0.2826,-0.0500000000000002,1.7015,4.804285714285714,92.952,90.402,106.83,94.7,71.0,1102.2,327.408423,이전
2013-04-01,33.29160667000269,99.4,19027.0,5617.8,1938.884090909091,13.96727272727273,2.8,0.2731,-0.1200000000000001,1.526818181818182,4.76409090909091,92.823,90.342,101.61,95.1,73.0,1121.83,328.799477,이전
2013-05-01,-619.4696169700017,99.4,18757.0,5900.8,1974.453809523809,13.49363636363636,2.72,0.27525,0.1300000000000003,1.677727272727273,4.378260869565217,92.823,90.685,98.57,95.6,73.0,1110.67,328.095419,이전
2013-06-01,-715.2408683700006,99.5,19308.0,5686.3,1884.412631578947,17.2715,2.69,0.2731,0.5899999999999999,1.9665,5.058095238095238,92.71,90.737,100.2,96.1,74.0,1135.21,326.439981,이전
2013-07-01,459.57728535999786,99.7,18797.0,5674.1,1871.768260869565,13.97454545454545,2.68,0.2656,0.7000000000000002,2.241363636363637,4.81695652173913,92.909,90.754,103.83,96.7,70.0,1127.23,329.709314,이전
2013-08-01,-232.8318366899992,99.8,19220.0,5900.5,1896.961904761905,14.21,2.66,0.2595,0.7599999999999998,2.380909090909091,4.750952380952381,93.238,90.711,112.39,97.2,70.0,1116.98,331.093643,이전
2013-09-01,-241.73322017999567,99.8,17399.0,5730.7,1984.394444444444,14.692,2.66,0.24885,0.6699999999999999,2.4055,4.642857142857143,93.419,90.986,105.09,97.8,72.0,1087.35,336.921772,이전
2013-10-01,36.08022359000074,99.7,17327.0,6030.2,2029.675238095238,15.40782608695652,2.66,0.242,0.5800000000000001,2.280454545454546,4.554347826086956,93.134,91.089,106.92,98.3,75.0,1066.8,343.225517,이전
2013-11-01,-94.9478332299982,99.8,19949.0,6495.3,2009.924285714286,12.924,2.65,0.2391,0.7370000000000001,2.414736842105263,4.321363636363636,93.116,91.32,108.85,98.8,74.0,1062.82,345.011747,이전
2013-12-01,-357.20321163000176,99.9,19737.0,6962.8,1988.334,14.19238095238095,2.65,0.2461,0.7989999999999999,2.561904761904762,4.087142857142857,93.229,91.381,107.89,99.1,73.0,1056.67,346.459569,이전
2014-01-01,43.045763670004135,100.0,19972.0,7128.3,1948.2195,14.24095238095238,2.65,0.2366,0.758,2.464285714285714,3.967727272727273,93.73,91.638,104.34,99.3,72.0,1064.75,348.393811,이전
2014-02-01,242.2548426299984,99.9,19605.0,7002.4,1937.733,15.47,2.65,0.23565,0.6709999999999998,2.382631578947368,4.0305,93.98,91.793,105.27,99.3,74.0,1071.3,351.79176,이전
2014-03-01,139.78994328999875,99.9,17291.0,7479.8,1952.429523809524,14.83666666666667,2.65,0.2306,0.6890000000000001,2.324285714285714,3.807619047619047,94.153,91.972,104.63,99.2,75.0,1070.89,354.341349,이전
2014-04-01,41.59286985999938,99.8,20161.0,6819.6,1991.191363636364,14.19809523809524,2.65,0.22335,0.6779999999999999,2.288095238095238,3.705238095238095,94.214,92.102,104.86,99.0,77.0,1044.55,355.84542,이전
2014-05-01,-40.14144347000092,99.7,19740.0,7046.5,1994.134736842105,12.4752380952381,2.65,0.2274,0.5919999999999996,2.17,3.75,94.369,92.325,106.41,98.8,74.0,1024.99,360.912745,이전
2014-06-01,28.831955379999272,99.5,19862.0,6506.7,1995.083684210526,11.54142857142857,2.65,0.2307,0.492,2.146190476190476,3.471904761904762,94.248,92.291,109.0,98.6,71.0,1019.36,366.545511,이전
2014-07-01,-182.12128998999856,99.4,19891.0,7365.3,2021.952173913043,12.29636363636364,2.65,0.2391,0.2749999999999999,2.035909090909091,3.653043478260869,94.386,92.462,103.81,98.5,70.0,1019.93,368.026376,이전
